customer_id;first_name;last_name;phone;email;street;city;state;zip_code
1;Debra;Burks;(507) 062-0991;debra.burks@yahoo.com;9273 Thorne Ave. ;Orchard Park;NY;14127
2;Kasha;Todd; (445) 216-2021;kasha.todd@yahoo.com;910 Vine Street ;Campbell;CA;95008
3;Tameka;Fisher; (478) 196-4033;tameka.fisher@aol.com;769C Honey Creek St. ;Redondo Beach;CA;90278
4;Daryl;Spence; (770) 635-9654;daryl.spence@aol.com;988 Pearl Lane ;Uniondale;NY;11553
5;Charolette;Rice; (518) 441-7785;charolette.rice@msn.com;107 River Dr. ;Sacramento;CA;95820
6;Lyndsey;Bean; (779) 165-0007;lyndsey.bean@hotmail.com;769 West Road ;Fairport;NY;14450
7;Latasha;Hays; (586) 891-1526;latasha.hays@hotmail.com;7014 Manor Station Rd. ;Buffalo;NY;14215
8;Jacquline;Duncan; (707) 120-9935;jacquline.duncan@yahoo.com;15 Brown St. ;Jackson Heights;NY;11372
9;Genoveva;Baldwin; (831) 351-5285;genoveva.baldwin@msn.com;8550 Spruce Drive ;Port Washington;NY;11050
10;Pamelia;Newman; (336) 215-5792;pamelia.newman@gmail.com;476 Chestnut Ave. ;Monroe;NY;10950
11;Deshawn;Mendoza; (440) 209-7946;deshawn.mendoza@yahoo.com;8790 Cobblestone Street ;Monsey;NY;10952
12;Robby;Sykes; (646) 682-3539;robby.sykes@hotmail.com;486 Rock Maple Street ;Hempstead;NY;11550
13;Lashawn;Ortiz; (780) 697-7625;lashawn.ortiz@msn.com;27 Washington Rd. ;Longview;TX;75604
14;Garry;Espinoza; (618) 312-1049;garry.espinoza@hotmail.com;7858 Rockaway Court ;Forney;TX;75126
15;Linnie;Branch; (340) 602-9646;linnie.branch@gmail.com;314 South Columbia Ave. ;Plattsburgh;NY;12901
16;Emmitt;Sanchez; (754) 371-7551;emmitt.sanchez@hotmail.com;461 Squaw Creek Road ;New York;NY;10002
17;Caren;Stephens; (828) 914-5139;caren.stephens@msn.com;914 Brook St. ;Scarsdale;NY;10583
18;Georgetta;Hardin; (682) 382-3758;georgetta.hardin@aol.com;474 Chapel Dr. ;Canandaigua;NY;14424
19;Lizzette;Stein; (551) 965-7584;lizzette.stein@yahoo.com;19 Green Hill Lane ;Orchard Park;NY;14127
20;Aleta;Shepard; (639) 984-3071;aleta.shepard@aol.com;684 Howard St. ;Sugar Land;TX;77478
21;Tobie;Little; (434) 893-2678;tobie.little@gmail.com;10 Silver Spear Dr. ;Victoria;TX;77904
22;Adelle;Larsen; (601) 651-0037;adelle.larsen@gmail.com;683 West Kirkland Dr. ;East Northport;NY;11731
23;Kaylee;English; (531) 423-7797;kaylee.english@msn.com;8786 Fulton Rd. ;Hollis;NY;11423
24;Corene;Wall; (234) 017-0796;corene.wall@msn.com;9601 Ocean Rd. ;Atwater;CA;95301
25;Regenia;Vaughan; (252) 330-1257;regenia.vaughan@gmail.com;44 Stonybrook Street ;Mahopac;NY;10541
26;Theo;Reese; (385) 891-4922;theo.reese@gmail.com;8755 W. Wild Horse St. ;Long Beach;NY;11561
27;Santos;Valencia; (662) 233-5337;santos.valencia@yahoo.com;7479 Carpenter Street ;Sunnyside;NY;11104
28;Jeanice;Frost; (780) 205-0927;jeanice.frost@hotmail.com;76 Devon Lane ;Ossining;NY;10562
